Id,Name,White move 1,Black move 1,White move 2,Black move 2,white move 3,Black move 3
1,Uncommon King's pawn,e5,z,z,z,z,z
2,Uncommon Queen's pawn ,d5 ,z,z,z,z,z
3,Uncommon opening,z,z,z,z,z,z
4,Bird's Opening,f4 ,d5,z,z,z,z
5,Reti Opening,Nf3,Nf6,z,z,z,z
6,Reti Opening,Nf3 ,d5,z,z,z,z
7,King's Indian Attack,Nf3,d5,g3,z,z,z
8,Reti Opening,Nf3 ,d5 ,c4,z,z,z
9,English,c4 ,e6,z,z,z,z
10,"English, Three Knights System",c4,e5 ,Nc3,Nc6,Nf3,z
11,"English, Symmetrical Variation",c4 ,c5,Nf3,Nf6,d4 ,cxd4 
12,"Modern Defense, Averbakh System",d4 ,d6 ,c4 ,g6 ,Nc3,Bg7 
13,Old Benoni Defense,d4,c5,d5,e5,z,z
14,Queen's Pawn Game,d4 ,Nf6,z,z,z,z
15,Queen's Indian,d4 ,Nf6 ,Nf3,b6,z,z
16,King's Indian,d4,Nf6,Nf3,g6,z,z
17,Budapest Gambit,d4,Nf6,c4,e8,z,z
18,Old Indian,d4,Nf6,c4,d6,z,z
19,"Old Indian, Ukrainian Variation",d4,Nf6,c4,d6,Nc3,e5
20,Benoni Defense,d4,Nf6,c4,c5,z,z
21,Benko Gambit,d4,Nf6,c4,c5,d5,b5
22,Dutch,d4,f5,g3,z,z,z
23,"Dutch, Staunton Gambit",d4,f5,e4,z,z,z
24,Scandinavian,e4,d5,z,z,z,z
25,Alekhine's Defense,e4,Nf6,e5,Nd5,d4,z
26,Robatsch,e4,g6,z,z,z,z
27,Pirc,e4,d6,d4,Nf6,z,z
28,Caro-Kann,e4,c6,d6,z,z,z
29,Sicilian,e4,c5,z,z,z,z
30,"Sicilian, Closed",e4,c5,Nc3,z,z,z
31,French Defense,e4,e6,z,z,z,z
32,"French, Advance",e4,e6,d4,d5,e5,z
33,King's Pawn Game,e4,e5,z,z,z,z
34,Center Game,e4,e5,d4,exd4,z,z
35,Bishop's Opening,e4,e5,Bc4,Nf6,z,z
36,Vienna,e4,e5,Nc3,z,z,z
37,Vienna Gambit,e4,e5,Nc3,Nf6,f4,z
38,King's Gambit Declined,e4,e5,f4,z,z,z
39,King's Gambit Accepted,e4,e5,f4,exf4,Nf3,z
40,King's Knight Opening,e4,e5,Nf3,z,z,z
41,Philidor Defense,e4,e5,Nf3,d6,z,z
42,Petrov Defense,e4,e5,Nf3,Nf6,z,z
43,King's Pawn Game,e4,e5,Nf3,Nc6,z,z
44,Scotch Game,e4,e5,Nf3,Nc6,d4,exd4
45,Three Knights,e4,e5,Nf3,Nc6,Nc3,z
46,Four Knights,e4,e5,Nf3,Nc6,Nf6,z
47,Giuoco Piano,e4,e5,Nf3,Nc6,Bc4,Bc5
48,Two Knights Defense,e4,e5,Nf3,Nc6,Bc4,Nf6
49,Ruy Lopez,e4,e5,Nf3,Nc6,Bb5,z
50,Queen's Pawn Game,d4,d5,z,z,z,z
51,Richter-Veresov Attack,d4,d5,Nc3,Nf6,Bg5,z
52,Queen's Pawn Game,d4,d5,Nf3,z,z,z
53,Queen's Gambit Declined ,d4,d5,c4,c6,z,z
54,Queen's Gambit Accepted,d4,d5,c4,dxc4,z,z
55,Neo-Grunfeld Defense,d4,Nf6,c4,g6,f3,d5
56,Neo-Grunfeld,d4,Nf6,c4,g6,g3,d5
57,Grunfeld,d4,Nf6,c4,g6,Nc3,d5
58,"Catalan, Closed",d4,Nf6,c4,e6,g3,d5
59,Queen's Indian,d4,Nf6,c4,e6,Nf3,b6
60,Nimzo-Indian,d4,Nf6,c4,e6,Nc3,Bb4
61,King's Indian Defense,d4,Nf6,c4,g6,z,z
62,King's Indian,d4,Nf6,c4,g6,Nc3,z